Filename,PDB ID,Combined Chain Key
pdb1.json,1a1m,C_A
pdb1.json,1a1o,C_A
pdb1.json,1a1r,C_A
pdb1.json,1a1r,C_B
pdb1.json,1a1r,D_A
pdb1.json,1a1r,D_B
pdb1.json,1a2c,I_H
pdb1.json,1a2c,L_H
pdb1.json,1a2x,B_A
pdb1.json,1a3b,I_H
pdb1.json,1a3b,L_H
pdb1.json,1a3e,I_H
pdb1.json,1a3e,L_H
pdb1.json,1a3r,P_H
pdb1.json,1a3r,P_L
pdb1.json,1a46,I_H
pdb1.json,1a46,L_H
pdb1.json,1a4w,I_H
pdb1.json,1a4w,L_H
pdb1.json,1a5g,I_H
pdb1.json,1a5g,L_H
pdb1.json,1a61,I_H
pdb1.json,1a61,L_H
pdb1.json,1a6a,C_A
pdb1.json,1a6a,C_B
pdb1.json,1a81,B_A
pdb1.json,1a81,D_A
pdb1.json,1a81,D_C
pdb1.json,1a81,F_C
pdb1.json,1a81,F_E
pdb1.json,1a81,H_A
pdb1.json,1a81,H_G
pdb1.json,1a81,H_K
pdb1.json,1a81,J_C
pdb1.json,1a81,J_I
pdb1.json,1a81,L_I
pdb1.json,1a81,L_K
pdb1.json,1a9b,C_A
pdb1.json,1a9b,C_D
pdb1.json,1a9b,F_A
pdb1.json,1a9b,F_D
pdb1.json,1a9e,C_A
pdb1.json,1ab9,A_B
pdb1.json,1ab9,A_C
pdb1.json,1abi,I_H
pdb1.json,1abi,L_H
pdb1.json,1abj,L_H
pdb1.json,1acy,P_H
pdb1.json,1acy,P_L
pdb1.json,1ad8,I_H
pdb1.json,1ad8,L_H
pdb1.json,1ae8,I_H
pdb1.json,1ae8,L_H
pdb1.json,1afe,I_H
pdb1.json,1afe,L_H
pdb1.json,1afq,A_B
pdb1.json,1afq,A_C
pdb1.json,1aht,I_H
pdb1.json,1aht,L_H
pdb1.json,1ai1,P_H
pdb1.json,1ai1,P_L
pdb1.json,1ai8,I_H
pdb1.json,1ai8,L_H
pdb1.json,1aix,I_H
pdb1.json,1aix,L_H
pdb1.json,1akh,A_B
pdb1.json,1akj,C_A
pdb1.json,1al0,B_F
pdb1.json,1an1,I_E
pdb1.json,1ao7,C_A
pdb1.json,1ao7,C_D
pdb1.json,1ao7,C_E
pdb1.json,1aot,P_F
pdb1.json,1aou,P_F
pdb1.json,1apm,I_E
pdb1.json,1aqc,C_A
pdb1.json,1aqc,D_B
pdb1.json,1aqd,C_A
pdb1.json,1aqd,C_B
pdb1.json,1aqd,F_D
pdb1.json,1aqd,F_E
pdb1.json,1aqd,I_G
pdb1.json,1aqd,I_H
pdb1.json,1aqd,L_J
pdb1.json,1aqd,L_K
pdb1.json,1as4,B_A
pdb1.json,1atp,I_E
pdb1.json,1avf,P_A
pdb1.json,1avf,P_J
pdb1.json,1avf,Q_A
pdb1.json,1avf,Q_J
pdb1.json,1avg,L_H
pdb1.json,1avp,B_A
pdb1.json,1aw8,A_B
pdb1.json,1aw8,A_E
pdb1.json,1aw8,D_B
pdb1.json,1aw8,D_E
pdb1.json,1awf,I_H
pdb1.json,1awf,L_H
pdb1.json,1awh,A_B
pdb1.json,1awh,C_D
pdb1.json,1awi,P_A
pdb1.json,1awi,P_B
pdb1.json,1axc,B_A
pdb1.json,1axc,D_C
pdb1.json,1axc,F_E
pdb1.json,1ay6,I_H
pdb1.json,1ay6,L_H
pdb1.json,1aya,P_A
pdb1.json,1aym,4_1
pdb1.json,1aym,4_3
pdb1.json,1ayn,4_1
pdb1.json,1ayn,4_3
pdb1.json,1b0g,C_A
pdb1.json,1b0g,F_D
pdb1.json,1b0n,B_A
pdb1.json,1b5g,I_H
pdb1.json,1b5g,L_H
pdb1.json,1b7x,A_B
pdb1.json,1b8h,D_B
pdb1.json,1ba8,A_B
pdb1.json,1bb0,A_B
pdb1.json,1bbr,F_E
pdb1.json,1bbr,F_H
pdb1.json,1bbr,G_E
pdb1.json,1bbr,G_K
pdb1.json,1bbr,G_N
pdb1.json,1bbr,I_N
pdb1.json,1bbr,J_K
pdb1.json,1bbr,L_E
pdb1.json,1bbr,L_H
pdb1.json,1bbr,M_N
pdb1.json,1bbt,4_1
pdb1.json,1bbt,4_2
pdb1.json,1bbt,4_3
pdb1.json,1bck,C_A
pdb1.json,1bcu,I_H
pdb1.json,1bcu,L_H
pdb1.json,1bd2,C_A
pdb1.json,1bd2,C_D
pdb1.json,1bd2,C_E
pdb1.json,1be3,I_A
pdb1.json,1be3,I_B
pdb1.json,1be3,K_A
pdb1.json,1be3,K_E
pdb1.json,1be3,K_J
